 19786  675  351 1 22.19  1.45 21.63 0.45   4.03 21.41 0.42   0.12 1.07 3.7643 0.0025 -0.109 0.004  0.052 0.018 4.497 0.045 0 0 0 0 0 0 2 1 0
 19789 1263  949 1 18.12  0.92 17.59 0.30   1.42 17.21 0.31   5.08 1.36 3.8244 0.0029 -0.001 0.002  0.588 0.015 4.334 0.037 0 0 0 0 0 0 2 1 1
 19793 1815  517 1 21.69  1.14 22.42 0.35   0.45 22.40 0.32   0.22 1.08 3.7602 0.0025 -0.119 0.004  0.025 0.014 4.506 0.044 0 0 0 0 0 0 2 1 0
 19796  671  211 1 21.08  0.97 22.04 0.38   4.02 22.39 0.46   2.17 1.29 3.7987 0.0027 -0.041 0.003  0.384 0.015 4.403 0.038 0 0 0 0 0 0 2 1 0
 19808  675  186 1 22.67  2.30 21.87 0.86   2.08 22.84 0.64   0.34 0.69 3.6532 0.0021 -0.601 0.018 -0.817 0.035 4.651 0.072 0 0 0 0 0 0 2 1 0
 19834    0    0 0  31.94  3.74 21.28 1.12   8.66  0    0      0    0.52 3.5892 0.0040 -1.205 0.034 -0.899 0.048 4.737 0.098 0 0 0 0 0 0 2 4 0
 19862    0    0 0  31.11  2.76 21.81 0.77  12.83  0    0      0    0.59 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 4 0
 19870 1263 1000 1 19.48  0.99 20.64 0.34   1.61 20.50 0.33   1.85 1.16 3.7483 0.0024 -0.148 0.004  0.196 0.014 4.533 0.041 0 1 1 0 0 0 2 1 1
 19877 1251  128 1 22.51  0.82 21.54 0.32   1.56 21.52 0.31   0.03 1.44 3.8314 0.0048  0.008 0.003  0.705 0.013 4.318 0.038 1 0 0 1 0 0 2 1 1
 19934 1276   86 1 19.48  1.17 19.75 0.39   0.45 19.55 0.33   0.01 0.95 3.7240 0.0025 -0.218 0.009 -0.261 0.018 4.572 0.050 0 0 0 0 0 0 2 1 0
 20019 1268    6 1 21.40  1.24 21.16 0.38  11.02 21.27 0.36   2.59 1.83 3.7367 0.0025 -0.181 0.006 -0.008 0.016 4.553 0.030 0 0 1 0 0 3 2 1 1
 20056 1268  327 1 21.84  1.14 21.94 0.35   0.14 21.73 0.31   0.22 2.05 3.7543 0.0025 -0.134 0.004  0.257 0.014 4.520 0.027 0 0 1 0 0 0 2 1 0
 20082 1264  498 1 20.01  1.91 22.42 0.64  10.90 22.39 0.43   0.81 0.87 3.6923 0.0026 -0.333 0.015 -0.498 0.025 4.606 0.057 0 0 0 0 0 0 2 1 0
 20086 1268  707 1 19.57  1.86 23.56 0.51  28.15 24.11 0.47   5.75 0.82 3.6721 0.0022 -0.458 0.016 -0.667 0.020 4.628 0.057 0 1 0 0 6 0 2 4 0
 20087 1276 1622 1 18.25  0.82 18.31 0.69   0.19 18.70 0.29   0.00 3.25 3.8822 0.0036  0.028 0.000  1.103 0.033 4.327 0.038 0 0 1 1 3 0 1 1 1
 20130 1272  325 1 23.53  1.25 21.86 0.44   1.94 21.46 0.38   0.74 0.97 3.7392 0.0025 -0.174 0.005 -0.159 0.018 4.549 0.049 0 0 0 0 0 0 2 1 0
 20146 1268  352 1 21.24  1.32 21.62 0.42   0.23 21.21 0.38   0.61 1.02 3.7445 0.0039 -0.158 0.007 -0.096 0.017 4.541 0.049 0 0 0 0 0 0 2 1 0
 20187  675  372 1 20.13  2.02 31.69 0.69  36.59 32.55 0.49   2.84 0.84 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 4 0
 20205 1264 1009 1 21.17  1.17 22.15 0.39   1.01 22.26 0.27   1.07 2.30 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 1 1
 20215 1264  348 1 23.27  1.14 24.30 0.62   9.55 22.51 0.35   0.27 2.22 3.8000 0.0041 -0.038 0.004  0.402 0.022 4.399 0.034 0 0 1 1 1 1 2 1 1
 20219  679  750 1 22.31  0.92 22.28 0.35   0.24 22.38 0.37   0.09 1.67 3.8777 0.0035  0.034 0.001  0.955 0.014 4.169 0.033 1 0 0 1 0 0 1 1 0
 20237 1272  439 1 22.27  0.93 22.21 0.35   1.04 22.08 0.40   0.15 1.19 3.7858 0.0036 -0.068 0.004  0.249 0.014 4.440 0.042 0 0 0 0 0 0 2 1 0
 20255 1268 1268 1 21.12  0.77 23.55 0.32  68.15 23.24 0.34   9.98 1.54 3.8302 0.0032  0.006 0.002  0.708 0.012 4.321 0.033 0 1 1 0 0 0 2 4 1
 20261 1264 1010 1 21.20  0.99 21.02 0.35   0.20 20.87 0.32   0.39 1.82 3.8955 0.0032  0.036 0.000  1.132 0.015 4.099 0.031 0 0 0 0 0 0 1 1 0
 20284  680   27 1 21.80  0.85 20.59 0.35   2.73 20.56 0.36   1.90 1.49 3.8151 0.0032 -0.013 0.004  0.816 0.015 4.356 0.035 0 1 1 0 0 0 2 1 1
 20319    0    0 0  11.64  3.73 14.95 0.92 916.91  0    0      0    0.73 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 8 0
 20349 1276  251 1 19.55  0.89 20.21 0.36   2.49 20.25 0.32   2.13 1.39 3.8214 0.0044 -0.004 0.002  0.573 0.015 4.340 0.039 0 0 0 0 0 0 2 1 0
 20350 1268  295 1 19.83  0.89 21.38 0.34   3.47 21.88 0.35   0.30 1.39 3.8194 0.0041 -0.006 0.002  0.521 0.014 4.345 0.038 0 0 0 0 0 0 2 1 0
 20357  680  994 1 19.46  1.02 20.41 0.36   0.97 20.32 0.39   0.00 1.44 3.8279 0.0043  0.004 0.003  0.637 0.015 4.326 0.038 0 0 0 0 0 0 2 1 0
 20400  680  995 1 21.87  0.96 22.35 0.35   1.40 22.30 0.36   2.43 1.64 3.8566 0.0035  0.029 0.003  0.900 0.014 4.290 0.033 1 1 1 1 0 0 2 1 1
 20419  676  680 1 19.17  1.93 22.13 0.57   5.02 22.67 0.48   0.99 0.85 3.6574 0.0021 -0.570 0.017 -0.479 0.023 4.647 0.057 0 1 1 0 0 0 2 1 0
 20440 1264  755 1 21.45  2.76 21.72 0.65   0.97 22.45 0.50   2.31 2.22 3.7976 0.0041 -0.043 0.005  0.454 0.026 4.406 0.036 0 0 1 1 1 1 2 1 1
 20441 1264  758 1 26.96  1.40 25.47 2.27  16.17  0    0      0    1.04 3.7553 0.0025 -0.131 0.004 -0.005 0.077 4.518 0.088 0 1 1 0 2 0 2 5 1
 20455 1268 1267 1 21.29  0.93 21.16 0.37   0.07 21.14 0.28   0.36 2.30 0      0       0     0      0     0     0     0     1 1 1 1 0 0 0 1 1
 20480 1276  639 1 20.63  1.34 19.81 0.43   0.63 19.80 0.37   1.13 0.97 3.7363 0.0025 -0.182 0.006 -0.158 0.019 4.554 0.050 0 0 0 0 0 0 2 1 0
 20482 1272  912 1 15.82  1.44 19.23 0.49   5.96 20.01 0.41   1.64 0.97 3.7053 0.0027 -0.275 0.011 -0.316 0.023 4.593 0.051 0 1 1 0 3 0 2 4 0
 20484 1264 1008 1 21.17  0.80 20.86 0.36   0.78 21.05 0.34   0.01 1.69 3.8581 0.0034  0.031 0.003  0.991 0.015 4.290 0.033 0 1 1 0 0 0 2 1 1
 20485 1264  902 1 21.08  2.69 24.96 0.79   3.00 24.43 0.53   2.36 0.74 3.6472 0.0021 -0.642 0.018 -0.827 0.028 4.655 0.066 0 0 0 0 0 0 2 1 0
 20491 1820 1157 1 20.04  0.89 18.67 0.35   3.54 18.46 0.33   0.10 1.29 3.8134 0.0029 -0.016 0.001  0.490 0.016 4.361 0.039 0 0 0 0 0 0 2 1 0
 20492  680  194 1 21.23  1.80 21.03 0.52   1.34 21.64 0.43   2.27 0.92 3.7157 0.0047 -0.244 0.018 -0.294 0.023 4.582 0.056 0 0 0 0 0 0 2 1 0
 20527  680  889 1 22.57  2.78 22.61 0.75   3.56 23.13 0.61   0.21 0.67 3.6324 0.0024 -0.740 0.021 -0.870 0.030 4.666 0.072 0 0 0 0 0 0 2 1 0
 20542 1269 1244 1 22.36  0.88 22.14 0.38   4.20 21.91 0.32   1.91 1.94 3.9168 0.0031  0.026 0.005  1.275 0.015 4.069 0.030 1 1 0 1 0 0 1 1 1
 20553  680  146 1 22.25  1.52 20.49 0.46  69.87 21.23 0.38   4.71 1.85 3.7739 0.0039 -0.092 0.004  0.280 0.020 4.472 0.034 0 0 0 3 1 0 2 4 1
 20557 1277  747 1 24.47  1.06 23.65 0.40   0.76 23.96 0.35   0.39 1.21 3.7976 0.0038 -0.043 0.004  0.316 0.015 4.406 0.042 0 0 0 0 0 0 2 1 0
 20563 1269 1212 1 19.35  1.79 22.34 0.66   3.00 22.20 0.46   0.03 0.83 3.6799 0.0024 -0.401 0.015 -0.636 0.026 4.618 0.059 0 0 0 0 0 0 2 1 0
 20567 1269  806 1 18.74  1.17 19.86 0.43   2.22 19.67 0.47   0.17 1.39 3.8168 0.0053 -0.010 0.002  0.522 0.019 4.352 0.042 0 0 0 0 0 0 2 1 0
 20577 1269 1152 1 20.73  1.29 21.77 0.46   4.63 22.30 0.40  11.53 1.16 3.7753 0.0039 -0.089 0.004  0.142 0.018 4.468 0.044 0 1 2 0 0 0 2 1 1
 20601   78 1147 1 14.97  1.51 19.54 0.43  57.10 19.50 0.47  21.56 1.61 3.7363 0.0025 -0.182 0.006 -0.182 0.019 4.554 0.035 0 1 1 0 0 0 2 4 0
 20605    0    0 0 24.41  6.94 20.86 2.69   0.29     0 0      0    1.05 3.5749 0.0056 -1.399 0.052 -0.845 0.114 4.778 0.123 0 0 0 3 1 1 2 1 0
 20614 1273 1106 1 20.40  0.74 21.65 0.33   6.79 21.69 0.34   0.05 1.59 3.8379 0.0045  0.013 0.001  0.834 0.013 4.308 0.035 0 0 0 0 0 0 2 1 1
 20626 1820   87 1 15.92  1.00 11.35 0.35  28.06 11.26 0.32  13.05 1.26 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 7 0
 20635 1277 1626 1 21.27  0.80 21.14 0.32   0.04 21.51 0.31   0.06 2.20 3.9159 0.0030  0.035 0.005  1.548 0.013 3.848 0.027 1 0 0 1 0 0 1 1 0
 20641 1277 1627 1 22.65  0.84 22.56 0.33   0.09 22.64 0.31   0.68 1.77 3.8880 0.0032  0.035 0.000  1.067 0.013 4.123 0.030 1 0 0 1 0 0 1 1 0
 20648 1269 1246 1 22.05  0.77 21.80 0.36   0.46 23.38 0.50   0.06 3.14 3.9649 0.0061 -0.105 0.022  1.541 0.017 4.205 0.033 0 0 0 1 1 1 1 1 1
 20661 1265 1171 1 21.47  0.97 21.29 0.37   7.20 21.08 0.38   0.00 2.47 3.8000 0.0027 -0.038 0.003  0.681 0.015 4.399 0.026 0 0 1 1 1 0 2 1 1
 20679 1269  829 1 20.79  1.83 22.87 0.67   1.71 20.85 0.44   1.07 1.64 3.7003 0.0025 -0.294 0.013 -0.298 0.026 4.598 0.038 0 0 1 2 1 1 2 1 1
 20686 1273  138 1 23.08  1.22 22.13 0.51   1.07 21.75 0.38   0.03 1.85 3.7545 0.1736 -0.133 0.344  0.034 0.139 4.519 0.708 0 0 1 1 1 1 2 1 1
 20711 1816 1893 1 21.07  0.80 21.69 0.34   1.43 22.13 0.31   0.63 2.17 3.8768 0.0029  0.051 0.001  1.491 0.014 3.742 0.027 1 0 0 1 0 2 1 1 1
 20712 1277  808 1 21.54  0.97 20.94 0.39  10.46 21.12 0.34   5.18 1.21 3.7866 0.0033 -0.067 0.004  0.339 0.016 4.438 0.042 0 1 1 0 0 0 2 1 0
