ObjID,b,l,modelMag_g,modelMag_r
1237646586100319165,-18.0774775679212,203.889158171387,21.80306,20.30311
1237646586100383861,-17.9100567319471,203.925201782894,20.67034,19.08693
1237646586100383865,-17.9575415608945,203.912792646824,21.41752,19.88154
1237646586100383875,-17.8837823525317,203.922199449331,19.7352,18.908
1237646586100383884,-17.9047546103033,203.946641919973,21.91426,20.47114
1237646586100383893,-17.9173093613631,203.923164170559,21.56366,20.40731
1237646586100384056,-18.0028865889414,203.892725706916,19.35892,18.34224
1237646586100384077,-17.9960906267308,203.887673126752,19.36018,18.63718
1237646586100384176,-17.9973022913249,204.007815884439,17.9744,16.56426
1237646586100384211,-18.0076541790585,204.074332223215,19.46374,18.80808
1237646586100384233,-17.9416391752881,203.995971579056,18.82561,17.8489
1237646586100384276,-17.9154369438846,204.006362782912,19.09735,18.12169
1237646586100384302,-18.0855858560562,204.030466989146,19.91975,18.45009
1237646586100384326,-18.030380522157,203.979016399878,20.78185,19.91332
1237646586100384370,-17.9678648985501,204.058272548923,20.22047,18.70542
1237646586100384414,-17.9419895319725,203.954242387688,21.50054,19.95281
1237646586100384504,-18.0675941834606,203.978714424292,21.29202,20.40511
1237646586100384541,-18.0493012493979,203.980101657717,22.39257,20.63227
1237646586100384604,-18.0425645612677,204.025641685861,20.35639,19.51824
1237646586100384782,-17.9442443406648,204.045030271866,22.79141,20.86012
1237646586102153733,-14.3470474484042,205.973821394149,22.25539,19.90732
1237646586102218815,-14.2831224216431,205.988633681773,20.42992,18.98764
1237646586102219094,-14.2739687971381,206.160345443494,19.2025,17.71708
1237646586102219266,-14.3725951597841,206.075902206358,21.80304,19.53116
1237646586102219551,-14.2597004272852,206.01437437199,23.25972,21.12905
1237646586102285058,-14.138051479062,206.072944109985,22.78379,20.38131
1237646586102285118,-14.1226036904703,206.091237629569,22.50972,20.295
1237646586102350542,-14.0529280930273,206.268257896737,21.53926,19.39182
1237646586102415685,-13.9311384124714,206.31715078053,19.42963,17.99646
1237646586102415931,-13.9649400664614,206.283172826063,21.287,19.29687
1237646586102415943,-13.9374099346601,206.276007630879,21.40047,19.32942
1237646586102416064,-13.9681221083013,206.271958976383,21.78549,19.74384
1237646586102416102,-13.8116344921034,206.253769843686,22.01741,19.93138
1237646586102416346,-13.8923727628503,206.272080848572,22.51634,20.57352
1237646586102416392,-13.8954431315738,206.313703144112,22.43062,20.31338
1237646586102416400,-13.826892406267,206.187425835807,22.47229,20.15973
1237646586102480944,-13.7987364099127,206.322792419236,21.44054,19.37439
1237646586102481413,-13.7663642074588,206.425538649484,18.83622,17.37072
1237646586102481709,-13.6737125835462,206.315321084991,21.16147,19.64319
1237646586102481837,-13.8268253956199,206.33896796356,22.0411,20.14187
1237646586102481971,-13.7420262849259,206.277943492194,22.60115,21.12314
1237646586102547236,-13.6381436439942,206.345609937724,21.50676,19.93079
1237646586102547277,-13.6007139164446,206.504574990363,21.59425,19.88342
1237646586102547714,-13.5734310558182,206.44684499188,22.47464,20.4549
1237646586102678460,-13.2943734586041,206.483422107392,20.13559,18.65973
1237646586102678808,-13.3457115994486,206.493866142419,22.46908,20.64459
1237646586102678818,-13.4126653435159,206.628843202639,22.18578,20.57289
1237646586102678943,-13.3325594137601,206.547388002475,22.34508,20.43103
1237646586102678951,-13.3667143016989,206.626520430116,22.2776,20.65338
1237646586102743556,-13.3028385608588,206.646339288487,21.56033,19.7865
1237646586102744152,-13.1379918876661,206.578127034519,20.96355,19.09685
1237646586102810130,-13.0358984825586,206.723952496394,22.03159,20.03674
1237646586102874757,-12.8654674683762,206.712291715619,19.0903,17.59416
1237646586102874849,-13.0041844597771,206.701860712255,21.25817,19.28964
1237646586102874862,-12.9694735516023,206.710621064599,21.29808,19.10475
1237646586102874908,-12.9204989240615,206.71111752993,21.0192,18.92364
1237646586102875245,-12.9325959593703,206.681253050027,22.83829,20.546
1237646586102875259,-12.9584407387259,206.747571491489,22.8566,20.73347
1237646586102940617,-12.7800814850479,206.78274987415,20.33416,18.87841
1237646586102940887,-12.9011225574416,206.895836236924,21.70186,19.79675
1237646586102941060,-12.7708718122692,206.801798640976,22.01116,20.32268
1237646586103005630,-12.7951519796893,206.956916355274,18.73923,17.86102
1237646586103005650,-12.7891043884054,206.954001353111,19.23974,18.25383
1237646586103006168,-12.7393962625158,206.827177847872,20.64338,19.08093
1237646586103006263,-12.6711935472556,206.952179934101,21.28916,19.42867
1237646586103006275,-12.7921976387542,206.935525146248,20.36314,19.28193
1237646586103006529,-12.770134093087,206.971065871797,22.02383,20.12621
1237646586103072128,-12.5809946954162,206.863859162119,22.96922,20.90991
1237646586103072243,-12.5935454252311,206.964437135157,22.52962,20.57439
1237646586103072360,-12.5371188031251,206.941061331422,22.24755,20.16783
1237646586103137592,-12.4731866107861,206.980453887848,22.87388,21.01372
1237646586103137689,-12.4381960326681,206.983235408594,22.17886,20.523
1237646586103137709,-12.42726931926,206.987787539489,21.8585,19.94791
1237646586103203264,-12.3497540897321,207.09993925313,22.1401,20.18629
1237646586103203444,-12.2571122816493,207.046590061288,22.52658,20.65622
1237646586103203516,-12.2566779075651,207.092241994638,21.96906,20.14297
1237646586103268674,-12.1783492876523,207.234179421244,20.51195,18.80577
1237646586103269109,-12.2148922132267,207.269223549754,22.06547,20.46109
1237646586103269152,-12.1377258012723,207.152245680662,21.87785,20.185
1237646586103332912,-12.1277012039456,207.284593868002,20.02545,18.59419
1237646586103334517,-12.0606263699082,207.145938415768,22.09123,20.58963
1237646586103398525,-11.9241676133292,207.225594425757,22.5046,20.31477
