Title:   The MACHO Project LMC Variable Star Inventory. XII. 
Three Cepheid Variables in Eclipsing Binaries
Authors: The MACHO Collaboration 
===========================================================
Byte-by-byte Description of file: tab1.txt
-----------------------------------------------------------
   Bytes Format Units   Label     Explanations
-----------------------------------------------------------
   1- 13  F13.5  days    HJD	  Heliocentric Julian Date
  15- 21  F7.4   mag     Vmag     V magnitude
  23- 28  F6.1   mag     e_Vmag   error in V magnitude
  31- 34  A5     ---     Source   Source of obervation
-----------------------------------------------------------
2449570.19150 14.6490 0.0150 MACHO
2449572.15580 14.6240 0.0150 MACHO
2449573.17760 14.6750 0.0160 MACHO
2449574.15330 14.6790 0.0150 MACHO
2449578.32580 14.6750 0.0150 MACHO
2449579.14680 14.6650 0.0160 MACHO
2449579.32480 14.6720 0.0150 MACHO
2449580.15480 14.6620 0.0150 MACHO
2449586.15130 14.6040 0.0160 MACHO
2449587.14630 14.6250 0.0160 MACHO
2449588.14760 14.6850 0.0160 MACHO
2449589.18210 14.6830 0.0150 MACHO
2449590.11750 14.6600 0.0150 MACHO
2449590.12750 14.6560 0.0150 MACHO
2449591.11900 14.6180 0.0150 MACHO
2449592.14280 14.6410 0.0150 MACHO
2449593.11040 14.6680 0.0150 MACHO
2449596.15130 14.6140 0.0150 MACHO
2449598.20920 14.6660 0.0150 MACHO
2449598.31310 14.6700 0.0150 MACHO
2449599.17210 14.6880 0.0150 MACHO
2449602.25140 14.6300 0.0150 MACHO
2449603.13230 14.6700 0.0150 MACHO
2449605.15070 14.6170 0.0150 MACHO
2449607.14280 14.6340 0.0150 MACHO
2449607.29620 14.6350 0.0150 MACHO
2449608.01870 14.6300 0.0210 MACHO
2449608.03540 14.6640 0.0160 MACHO
2449608.30180 14.6810 0.0150 MACHO
2449609.29970 14.6770 0.0150 MACHO
2449610.16990 14.6110 0.0150 MACHO
2449612.12850 14.6320 0.0160 MACHO
2449619.10590 14.6850 0.0150 MACHO
2449621.13970 14.6050 0.0150 MACHO
2449622.26830 14.6350 0.0150 MACHO
2449623.13760 14.6730 0.0160 MACHO
2449624.13690 14.6800 0.0150 MACHO
2449626.11880 14.6120 0.0150 MACHO
2449628.13260 14.6760 0.0150 MACHO
2449629.17820 14.6810 0.0150 MACHO
2449631.10180 14.6090 0.0150 MACHO
2449634.04740 14.6920 0.0150 MACHO
2449635.03680 14.6190 0.0150 MACHO
2449636.10800 14.6180 0.0150 MACHO
2449637.07830 14.6410 0.0150 MACHO
2449638.15910 14.6380 0.0160 MACHO
2449646.10090 14.6090 0.0150 MACHO
2449648.23250 14.6790 0.0150 MACHO
2449649.01780 14.6800 0.0150 MACHO
2449650.01500 14.6120 0.0150 MACHO
2449654.15480 14.6820 0.0150 MACHO
2449665.21810 14.6040 0.0150 MACHO
2449671.23570 14.8880 0.0150 MACHO
2449672.98000 15.2120 0.0160 MACHO
2449674.08800 15.1090 0.0150 MACHO
2449675.21550 15.0220 0.0150 MACHO
2449677.03310 15.0630 0.0150 MACHO
2449688.07340 14.6860 0.0150 MACHO
2449689.03770 14.6620 0.0150 MACHO
2449690.09610 14.5990 0.0150 MACHO
2449696.07650 14.6250 0.0150 MACHO
2449701.03370 14.5840 0.0150 MACHO
2449705.04200 14.5970 0.0150 MACHO
2449707.08940 14.6510 0.0150 MACHO
2449716.00030 14.6280 0.0150 MACHO
2449718.15620 14.6710 0.0150 MACHO
2449724.03170 14.6660 0.0150 MACHO
2449730.20190 14.5910 0.0150 MACHO
2449738.24460 14.6710 0.0150 MACHO
2449742.12070 14.6520 0.0150 MACHO
2449746.16560 14.6300 0.0150 MACHO
2449748.12670 14.6740 0.0150 MACHO
2449749.13730 14.6600 0.0150 MACHO
2449750.23230 14.5980 0.0150 MACHO
2449752.03380 14.6540 0.0150 MACHO
2449753.16250 14.6790 0.0150 MACHO
2449755.04450 14.5950 0.0150 MACHO
2449756.15140 14.6270 0.0150 MACHO
2449756.18450 14.6350 0.0150 MACHO
2449761.26040 14.6400 0.0150 MACHO
2449763.08350 14.6710 0.0150 MACHO
2449765.21900 14.6130 0.0150 MACHO
2449768.15380 14.6910 0.0160 MACHO
2449785.01950 14.5940 0.0150 MACHO
2449785.02400 14.5930 0.0150 MACHO
2449787.19990 14.6690 0.0150 MACHO
2449790.99880 14.6300 0.0150 MACHO
2449795.99800 14.6230 0.0150 MACHO
2449801.07600 14.6670 0.0150 MACHO
2449802.01780 14.6730 0.0150 MACHO
2449804.99120 14.6020 0.0150 MACHO
2449806.99250 14.6610 0.0150 MACHO
2449808.16310 14.6830 0.0150 MACHO
2449808.99020 14.6460 0.0150 MACHO
2449810.03640 14.6070 0.0150 MACHO
2449811.01320 14.6330 0.0150 MACHO
2449820.00270 14.5970 0.0160 MACHO
2449827.01230 14.6710 0.0150 MACHO
2449831.97670 14.6710 0.0150 MACHO
2449836.03870 14.6360 0.0150 MACHO
2449843.01600 14.6840 0.0150 MACHO
2449856.98810 14.6750 0.0150 MACHO
2449858.97590 14.6050 0.0150 MACHO
2449862.94150 14.6870 0.0150 MACHO
2449864.94550 14.6090 0.0160 MACHO
2449872.95510 14.7170 0.0150 MACHO
2449875.88820 14.6730 0.0160 MACHO
2449880.90120 14.6480 0.0170 MACHO
2449887.89100 14.6760 0.0150 MACHO
2449889.87700 14.6060 0.0150 MACHO
2449891.88550 14.6830 0.0150 MACHO
2449902.88810 14.6710 0.0160 MACHO
2449906.33060 14.6680 0.0150 MACHO
2449908.32290 14.6840 0.0150 MACHO
2449913.32970 14.6750 0.0170 MACHO
